obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3658608071.97,2,31.4755992889,3746541015.83,3746541015.89,3658608071.97,0.0,internal_timestamp,2926.84008789,965560,1449619271,1.72019994259,3.14755992889,34.6465893697,1041.11495665,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3658608082.97,2,31.4683990479,3746541015.83,3746541015.89,3658608082.97,0.0,internal_timestamp,2924.17993164,973225,1449619282,1.71360003948,3.14683990479,34.6459975939,1041.10370118,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3658608093.98,2,31.4668006897,3746541015.83,3746541015.89,3658608093.98,0.0,internal_timestamp,2921.2199707,983516,1449619293,1.7132999897,3.14668006897,34.6457175972,1041.09041022,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3658608104.98,2,31.4652004242,3746541015.83,3746541015.89,3658608104.98,0.0,internal_timestamp,2918.27001953,979091,1449619304,1.71300005913,3.14652004242,34.6454308036,1041.07715743,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3658608115.98,2,31.4640007019,3746541015.83,3746541015.89,3658608115.98,0.0,internal_timestamp,2915.30004883,978297,1449619315,1.71319997311,3.14640007019,34.6451133672,1041.06371597,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3658608126.97,2,31.4631996155,3746541015.83,3746541015.9,3658608126.97,0.0,internal_timestamp,2913.68994141,974699,1449619326,1.71290004253,3.14631996155,34.6451910299,1041.05668475,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3658608137.97,2,31.4631996155,3746541015.83,3746541015.9,3658608137.97,0.0,internal_timestamp,2913.63989258,970987,1449619337,1.71300005913,3.14631996155,34.6451076188,1041.05638283,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3658608148.98,2,31.4622993469,3746541015.83,3746541015.9,3658608148.98,0.0,internal_timestamp,2911.91992188,975317,1449619348,1.71280002594,3.14622993469,34.6450078394,1041.04871096,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3658608159.98,2,31.4610996246,3746541015.83,3746541015.9,3658608159.98,0.0,internal_timestamp,2909.22998047,980453,1449619359,1.71249997616,3.14610996246,34.6450941988,1041.03689907,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3658608170.98,2,31.4598007202,3746541015.83,3746541015.9,3658608170.98,0.0,internal_timestamp,2906.32006836,975814,1449619370,1.71239995956,3.14598007202,34.6449474692,1041.02389946,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3658608181.98,2,31.4584007263,3746541015.83,3746541015.9,3658608181.98,0.0,internal_timestamp,2903.39990234,980367,1449619381,1.71220004559,3.14584007263,34.6447879389,1041.01085858,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3658608192.98,2,31.4573001862,3746541015.83,3746541015.9,3658608192.98,0.0,internal_timestamp,2900.47998047,976327,1449619392,1.71179997921,3.14573001862,34.6452096284,1040.99830123,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('12',)",3658608203.98,2,31.4566993713,3746541015.83,3746541015.9,3658608203.98,0.0,internal_timestamp,2899.38989258,983680,1449619403,1.71159994602,3.14566993713,34.6451877274,1040.99348075,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('13',)",3658608215.02,2,31.4566993713,3746541015.83,3746541015.9,3658608215.02,0.0,internal_timestamp,2899.16992188,18805,1449619415,1.71159994602,3.14566993713,34.6452892863,1040.9925846,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('14',)",3658608225.99,2,31.4557991028,3746541015.83,3746541015.9,3658608225.99,0.0,internal_timestamp,2897.12011719,986227,1449619425,1.71119999886,3.14557991028,34.6455555674,1040.98376313,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
